sift false_datas: 1748
sift false_datas 0527: 751
epoch_num:266
================= QA_dirt =================
skip false data: 0
load imgs:(5518, 3, 224, 224), (5518,)
True:4212, False:1306
Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_02_26/checkpoint_0.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.47 QA_dirt T_R:45.537 M_R:50.487 F_R:55.436
th: 0.48 QA_dirt T_R:41.263 M_R:50.111 F_R:58.959
th: 0.49 QA_dirt T_R:37.346 M_R:50.220 F_R:63.093
th: 0.50 QA_dirt T_R:33.310 M_R:50.001 F_R:66.692
th: 0.51 QA_dirt T_R:29.630 M_R:50.420 F_R:71.210
th: 0.52 QA_dirt T_R:25.641 M_R:50.187 F_R:74.732
th: 0.53 QA_dirt T_R:21.534 M_R:50.162 F_R:78.790
th: 0.54 QA_dirt T_R:18.471 M_R:50.660 F_R:82.848
th: 0.55 QA_dirt T_R:15.907 M_R:51.177 F_R:86.447
th: 0.56 QA_dirt T_R:13.058 M_R:51.016 F_R:88.974
th: 0.57 QA_dirt T_R:10.992 M_R:51.093 F_R:91.194
th: 0.58 QA_dirt T_R:9.330 M_R:51.181 F_R:93.032
th: 0.59 QA_dirt T_R:7.550 M_R:51.095 F_R:94.640
th: 0.60 QA_dirt T_R:5.722 M_R:50.755 F_R:95.789
th: 0.61 QA_dirt T_R:4.107 M_R:50.369 F_R:96.631
th: 0.62 QA_dirt T_R:3.253 M_R:50.325 F_R:97.397
th: 0.63 QA_dirt T_R:2.493 M_R:50.366 F_R:98.239
th: 0.64 QA_dirt T_R:1.899 M_R:50.414 F_R:98.928
th: 0.65 QA_dirt T_R:1.448 M_R:50.265 F_R:99.081
th: 0.66 QA_dirt T_R:1.187 M_R:50.440 F_R:99.694
th: 0.67 QA_dirt T_R:0.902 M_R:50.336 F_R:99.770
th: 0.68 QA_dirt T_R:0.689 M_R:50.229 F_R:99.770
th: 0.69 QA_dirt T_R:0.546 M_R:50.196 F_R:99.847
th: 0.70 QA_dirt T_R:0.261 M_R:50.054 F_R:99.847
th: 0.71 QA_dirt T_R:0.119 M_R:49.983 F_R:99.847
th: 0.72 QA_dirt T_R:0.095 M_R:50.009 F_R:99.923
th: 0.73 QA_dirt T_R:0.047 M_R:49.985 F_R:99.923
th: 0.74 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000
th: 0.75 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000
th: 0.76 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000
th: 0.77 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000
th: 0.78 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000
th: 0.79 QA_dirt T_R:0.024 M_R:50.012 F_R:100.000

Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_08_01/checkpoint_2.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.30 QA_dirt T_R:91.382 M_R:73.026 F_R:54.671
th: 0.31 QA_dirt T_R:90.575 M_R:74.077 F_R:57.580
th: 0.32 QA_dirt T_R:90.052 M_R:76.037 F_R:62.021
th: 0.33 QA_dirt T_R:89.245 M_R:77.471 F_R:65.697
th: 0.34 QA_dirt T_R:88.224 M_R:78.492 F_R:68.760
th: 0.35 QA_dirt T_R:87.013 M_R:79.724 F_R:72.435
th: 0.36 QA_dirt T_R:85.779 M_R:80.676 F_R:75.574
th: 0.37 QA_dirt T_R:84.544 M_R:81.437 F_R:78.331
th: 0.38 QA_dirt T_R:82.977 M_R:81.764 F_R:80.551
th: 0.39 QA_dirt T_R:82.004 M_R:82.350 F_R:82.695
th: 0.40 QA_dirt T_R:80.532 M_R:82.724 F_R:84.916
th: 0.41 QA_dirt T_R:79.036 M_R:83.048 F_R:87.060
th: 0.42 QA_dirt T_R:77.469 M_R:83.222 F_R:88.974
th: 0.43 QA_dirt T_R:75.332 M_R:83.072 F_R:90.812
th: 0.44 QA_dirt T_R:73.813 M_R:83.001 F_R:92.190
th: 0.45 QA_dirt T_R:71.866 M_R:82.487 F_R:93.109
th: 0.46 QA_dirt T_R:69.777 M_R:82.017 F_R:94.257
th: 0.47 QA_dirt T_R:67.545 M_R:81.399 F_R:95.253
th: 0.48 QA_dirt T_R:65.480 M_R:80.749 F_R:96.018
th: 0.49 QA_dirt T_R:63.367 M_R:80.037 F_R:96.708
th: 0.50 QA_dirt T_R:61.538 M_R:79.353 F_R:97.167
th: 0.51 QA_dirt T_R:59.615 M_R:78.468 F_R:97.320
th: 0.52 QA_dirt T_R:57.455 M_R:77.579 F_R:97.703
th: 0.53 QA_dirt T_R:55.176 M_R:76.669 F_R:98.162
th: 0.54 QA_dirt T_R:52.635 M_R:75.552 F_R:98.469
th: 0.55 QA_dirt T_R:50.285 M_R:74.530 F_R:98.775
th: 0.56 QA_dirt T_R:47.887 M_R:73.369 F_R:98.851
th: 0.57 QA_dirt T_R:45.632 M_R:72.318 F_R:99.005
th: 0.58 QA_dirt T_R:43.067 M_R:71.036 F_R:99.005
th: 0.59 QA_dirt T_R:40.931 M_R:70.006 F_R:99.081
th: 0.60 QA_dirt T_R:39.079 M_R:69.118 F_R:99.158
th: 0.61 QA_dirt T_R:36.325 M_R:67.856 F_R:99.387
th: 0.62 QA_dirt T_R:34.330 M_R:66.897 F_R:99.464
th: 0.63 QA_dirt T_R:32.099 M_R:65.896 F_R:99.694
th: 0.64 QA_dirt T_R:29.535 M_R:64.652 F_R:99.770
th: 0.65 QA_dirt T_R:27.160 M_R:63.504 F_R:99.847
th: 0.66 QA_dirt T_R:25.237 M_R:62.580 F_R:99.923
th: 0.67 QA_dirt T_R:23.623 M_R:61.773 F_R:99.923
th: 0.68 QA_dirt T_R:21.391 M_R:60.696 F_R:100.000
th: 0.69 QA_dirt T_R:19.231 M_R:59.615 F_R:100.000
th: 0.70 QA_dirt T_R:17.616 M_R:58.808 F_R:100.000
th: 0.71 QA_dirt T_R:15.503 M_R:57.752 F_R:100.000
th: 0.72 QA_dirt T_R:13.818 M_R:56.909 F_R:100.000
th: 0.73 QA_dirt T_R:12.013 M_R:56.007 F_R:100.000
th: 0.74 QA_dirt T_R:10.945 M_R:55.472 F_R:100.000
th: 0.75 QA_dirt T_R:9.687 M_R:54.843 F_R:100.000
th: 0.76 QA_dirt T_R:8.476 M_R:54.238 F_R:100.000
th: 0.77 QA_dirt T_R:7.241 M_R:53.621 F_R:100.000
th: 0.78 QA_dirt T_R:6.220 M_R:53.110 F_R:100.000
th: 0.79 QA_dirt T_R:5.342 M_R:52.671 F_R:100.000

Loading model from /data/workspace/git_research/lsnet/checkpoints/lsnet_t/2025_11_11_01_08_01/checkpoint_3.pth
Creating model: lsnet_t
<All keys matched successfully>

th: 0.30 QA_dirt T_R:97.032 M_R:61.456 F_R:25.881
th: 0.31 QA_dirt T_R:96.866 M_R:63.288 F_R:29.709
th: 0.32 QA_dirt T_R:96.581 M_R:64.906 F_R:33.231
th: 0.33 QA_dirt T_R:96.249 M_R:66.807 F_R:37.366
th: 0.34 QA_dirt T_R:95.655 M_R:68.578 F_R:41.501
th: 0.35 QA_dirt T_R:94.824 M_R:70.230 F_R:45.636
th: 0.36 QA_dirt T_R:94.136 M_R:71.570 F_R:49.005
th: 0.37 QA_dirt T_R:93.495 M_R:73.202 F_R:52.910
th: 0.38 QA_dirt T_R:92.569 M_R:74.385 F_R:56.202
th: 0.39 QA_dirt T_R:91.500 M_R:75.421 F_R:59.342
th: 0.40 QA_dirt T_R:90.218 M_R:76.426 F_R:62.634
th: 0.41 QA_dirt T_R:89.055 M_R:77.299 F_R:65.544
th: 0.42 QA_dirt T_R:87.536 M_R:77.918 F_R:68.300
th: 0.43 QA_dirt T_R:85.969 M_R:78.896 F_R:71.822
th: 0.44 QA_dirt T_R:84.402 M_R:79.414 F_R:74.426
th: 0.45 QA_dirt T_R:82.882 M_R:80.224 F_R:77.565
th: 0.46 QA_dirt T_R:80.651 M_R:80.524 F_R:80.398
th: 0.47 QA_dirt T_R:78.538 M_R:80.693 F_R:82.848
th: 0.48 QA_dirt T_R:76.068 M_R:80.798 F_R:85.528
th: 0.49 QA_dirt T_R:73.457 M_R:80.373 F_R:87.289
th: 0.50 QA_dirt T_R:70.560 M_R:79.882 F_R:89.204
th: 0.51 QA_dirt T_R:67.640 M_R:79.264 F_R:90.888
th: 0.52 QA_dirt T_R:64.649 M_R:78.419 F_R:92.190
th: 0.53 QA_dirt T_R:61.515 M_R:77.273 F_R:93.032
th: 0.54 QA_dirt T_R:58.547 M_R:76.555 F_R:94.564
th: 0.55 QA_dirt T_R:55.698 M_R:75.743 F_R:95.789
th: 0.56 QA_dirt T_R:52.707 M_R:74.592 F_R:96.478
th: 0.57 QA_dirt T_R:49.644 M_R:73.520 F_R:97.397
th: 0.58 QA_dirt T_R:46.273 M_R:72.064 F_R:97.856
th: 0.59 QA_dirt T_R:42.830 M_R:70.496 F_R:98.162
th: 0.60 QA_dirt T_R:39.103 M_R:68.786 F_R:98.469
th: 0.61 QA_dirt T_R:35.351 M_R:67.140 F_R:98.928
th: 0.62 QA_dirt T_R:32.146 M_R:65.575 F_R:99.005
th: 0.63 QA_dirt T_R:29.012 M_R:64.047 F_R:99.081
th: 0.64 QA_dirt T_R:26.068 M_R:62.651 F_R:99.234
th: 0.65 QA_dirt T_R:22.792 M_R:61.128 F_R:99.464
th: 0.66 QA_dirt T_R:19.658 M_R:59.599 F_R:99.541
th: 0.67 QA_dirt T_R:16.999 M_R:58.308 F_R:99.617
th: 0.68 QA_dirt T_R:14.910 M_R:57.340 F_R:99.770
th: 0.69 QA_dirt T_R:12.559 M_R:56.165 F_R:99.770
